ID,제목,국가,카테고리점수,style
3831,이렇다 할 특징이 없는 (평범한) 여성 - 소설《82년생 김지영》,독일,0,기타
3832,2021 오스카상 노미네이트,스페인,10,영화/드라마
3833,"모리슨 총리, ‘2032 올림픽 개최, 더 큰 영광일 것’",호주,0,기타
3834,"브리즈번, 2032 올림픽 개최에 또 큰 발걸음 내디뎌",호주,0,기타
3835,"韓 언론, <출동 슈퍼윙스> 삭제 사태에 주목",중국,0,기타
3836,"한국, 월드컵 예선경기를 위해 북한 초청",프랑스,0,기타
3837,"한국과 인도네시아를 이어주는 이야기, 웹툰 ‘K-친구’",인도네시아,0,기타
3838,"한국과 인도네시아를 이어주는 이야기, 웹툰 ‘K-친구’-한류 안에서의 한국",인도네시아,0,기타
3839,올림픽의 불평등,멕시코,0,기타
3840,가족을 위해서라면 무엇이든,미국,0,기타
3841,이 좀비들은 공포를 먹고 자랍니다,미국,0,기타
3842,미국 이민에 대한 아름다운 애가,스페인,0,기타
3843,한국 감성으로 회귀한 할리우드,스페인,0,기타
3844,주터키한국문화원에서 개최된 제 2회 글꽃 그룹전시회 관련 인터뷰,터키,0,기타
3845,대한민국 체육선수 희생,태국,0,기타
3846,"빅히트 엔터, 이제 하이브(HYBE)코퍼레이션…새 이름에 대한 네티즌 반응",인도,200,KPOP
3847,'2022 베이징 동계 올림픽 문화 한국행’ 행사 성공적으로 개최,중국,0,기타
3848,한국문학 인기 급상승,일본,0,기타
3849,"‘미나리’ 윤여정, 한국 밖 새로운 명성에 들뜨지 않아",미국,20,영화/드라마
3850,한국에서 여성이라는 존재,오스트리아,0,기타
3851,신기! 매운맛으로 스트레스 해소? 韓 매운 아이스크림으로 매운맛 열풍,중국,0,기타
3852,"중국, 코로나 백신 제공, 도쿄올림픽에서, IOC 비용부담",일본,0,기타
3853,"‘미나리’: 할리우드, 한국어로 말하다",스페인,10,영화/드라마
3854,태권도품새팀 출전준비,태국,0,기타
3855,한국과 볼고그라드의 원격회의,러시아,0,기타
3856,"올림픽 관객수 판단 연기도, 협찬사 틀 여부, 재선한 바흐 IOC위원장",일본,0,기타
3857,"올림픽 관계자의 사전방지 대책 검토, 카토 장관",일본,0,기타
3858,"대회 앞두고 백신 접종 도쿄로, 미 올림픽위원회“준비돼 있다”",일본,0,기타
3859,"[분석] 한미, 스파이·반테러 소재 드라마 제작에 노림수 뛰어나",중국,10,영화/드라마
3860,"영화 “오! 인천”, 통일교가 만든 대실패작의 뒷이야기",프랑스,10,영화/드라마
3861,"BTS, 빌리 아일리쉬, 2021년 그레미 세레머니 참가",멕시코,100,KPOP
3862,브레드 피트가 프로듀싱한 한국어 영화,스페인,10,영화/드라마
3863,이번 주 마드리드에서 소개되는 8가지 문화행사,스페인,0,기타
3864,올림픽 출전선수들 4월 백신접종,태국,0,기타
3865,韓 K리그 U22 규정 실시에 들썩이는 中 네티즌들,중국,0,기타
3866,"한국 올림픽 빙상 스타, 성희롱 사건으로 중국 '귀화’",영국,0,기타
3867,한러 양국 ‘한러 상호문화교류의 해’ 지속 시행,러시아,0,기타
3868,"올림픽 해외로부터의 관객 수용 포기, 스폰서 틀은 관전 검토, 정부",일본,0,기타
3869,"‘투어티여우타이’정책으로 1인당 5,000바트씩 지원",태국,0,기타
3870,"성화 봉송 출발식 무관객, 후쿠시마에서 25일 실시",일본,0,기타
3871,완벽한 피부를 위한 한국 식단,아르헨티나,0,기타
3872,"김치, 식탁 위 친구",스페인,-1,음식/뷰티
3873,올림픽 출전을 위한 자격정지 스타의 귀화,스웨덴,0,기타
3874,"한국문화원, 온라인 한국 여행 콘텐츠 소개",벨기에,0,기타
3875,한국 소녀의 이야기,영국,0,기타
3876,"괴롭힘으로 금지 된 한국 올림픽 챔피언, 중국을 위해 스케이트 타기",인도,0,기타
3877,해외관객 가부 IOC ‘월말 결정’,일본,0,기타
3878,"'서바이벌' 하면서 과학을 즐기는 만화 시리즈, 누계 천만 부 넘어, 한국 책으로 공룡부터 AI까지",일본,10,영화/드라마
3879,한국출신 작가  강한나씨 '한 여성으로서 짓는 단가 작은 빛이 되었으면',일본,0,기타
3880,[기고] 청소년의 강건한 기질 어떻게 드높일까,중국,0,기타
3881,"성희롱 사건으로 징계받았던 한국 쇼트트랙 선수, 중국 귀화 결정",아르헨티나,0,기타
3882,"부에노스아이레스에 번지는 한국의 전통음식 김치, 아르헨티나의 식탁까지 도달",아르헨티나,-1,음식/뷰티
3883,‘위스키’ 대신 ‘김치’하세요!,아르헨티나,-1,음식/뷰티
3884,"‘크리틱스 초이스’: ‘미나리’의 앨런 김, 제26회 시상식에서 오열",스페인,10,영화/드라마
3885,"강지원, 떠오르는 별",태국,0,기타
3886,코로나 재난의 영화제·소형 영화관,일본,10,영화/드라마
3887,모두 아세안의 전사 공주에게 환호하다,태국,0,기타
3888,"카타르 도하, 2032 올림픽 유치 여전히 관심 있어...",호주,0,기타
3889,"카타르 도하, 2032 올림픽 유치 여전히 관심 있어...",호주,0,기타
3890,"한국 공연 예술, 전통 문화를 즐기세요, 매주 금요일 4월 16일까지",인도,0,기타
3891,"정 박의 책, '비커밍 김정은' - 리틀 로켓맨을 과소평가하지 마라",영국,0,기타
3892,신쵸 후토시 고등학교의 한국어 교육과 나,일본,0,기타
3893,"엘론 머스크, 슈퍼 악당",인도,0,기타
3894,한국 전광영 작가 러 최초 전시회 개최,러시아,0,기타
3895,극동 지역을 캔버스에 펼치다,터키,0,기타
3896,글꽃,터키,0,기타
3897,올해의 글로벌 아티스트 BTS,멕시코,100,KPOP
3898,YouTube를 통해 공부하는 사람들을 보는 건강한 매력,멕시코,0,기타
3899,"한국 영화, 기존 방식 탈피한 개봉 선보일 것",미국,10,영화/드라마
3900,넷플릭스 30 베스트 미스터리 영화,미국,20,영화/드라마
3901,"2021 베를린 국제영화제, 루마니아 Radu Jude의 작품이 수상",스페인,10,영화/드라마
3902,"영혼을 위로하는 음식, 김치",멕시코,-2,음식/뷰티
3903,"K-POP 팬, 라이선스 분쟁으로 스포티파이의 카카로M 음원 중단에 울분",남아공,100,KPOP
3904,"올림픽 취소 가능성 언급, 시모무라 자민 정조회장‘주력국들의 참가가 무리라면’",일본,0,기타
3905,수천개의  K-Pop 노래가 스포티파이에서 사라진 이유,미국,100,KPOP
3906,"인기를 끌고 있는 음식, 김치 무료 마스터 클래스",스페인,-2,음식/뷰티
3907,영화 <기생충>을 넘어: 봉준호의 천재성,영국,20,영화/드라마
3908,"한국문화원, 제 2회 글꽃 그룹전 전시회 개막식",터키,0,기타
3909,앙카라에서 서화 전시회 개최,터키,0,기타
3910,아톰급 그랑프리 8강전,태국,0,기타
3911,요넥스 스위스 오픈 호조,태국,0,기타
3912,쏭끄란 축제 반드시 개최,태국,0,기타
3913,"넷플릭스, 올해 한국 제작 콘텐츠 라인업 공개",필리핀,10,영화/드라마
3914,"소니, 애니송을 세계로, 현지화하지 않고 일본어로 승부 을 세계로, 현지화하지 않고 일본어로 승부 - RE: SONY 제2부 새로운 선율 (3)",일본,0,기타
3915,[분석] 韓 정치권에서 유행하는 배례,중국,0,기타
3916,"심은경, 한일서 활약하는 배우 - 첫 형사역, 정의의 의미를 찾는다",일본,10,영화/드라마
3917,"올림픽 해외관객 수용 곤란, 정부?조직위?도쿄도 견해를 조정",일본,0,기타
3918,제니와 지드래곤의 열애사실 확인,멕시코,0,기타
3919,빅뱅 지드래곤의 나이는? 블랙핑크 제니와의 나이차이,멕시코,100,KPOP
3920,샤이니 Don't Call Me 로 2년만의 컴백,멕시코,100,KPOP
3921,'우리에겐 똑같은 아픔과 기쁨이 있다' - 골든글로브 수상작 미나리의 아이작 정 감독이 말하는 보편성,미국,0,기타
3922,신곡과 함께 돌아오는 아이콘,멕시코,0,기타
3923,Spotify에서의 KPOP 불가,멕시코,100,KPOP
3924,"홍상수 감독 '인트로덕션', 베를린영화제 경쟁 부문 초청",아르헨티나,10,영화/드라마
3925,아시아 영화의 보이지 않는 스타들,미국,0,기타
3926,리 아이작 정 감독은 일부 가족의 기억들을 적어 두었고 그것이 영화‘미나리’가 되었다고 밝혀,미국,20,영화/드라마
3927,"‘미나리’ 아이삭 정 감독, 골든글로브 수상의 보편성에 대해",미국,10,영화/드라마
3928,한국 공예 전시회,스페인,0,기타
3929,"5자회담 코로나 대책, IOC, IPC도 참가",일본,0,기타
3930,"무에타이, 유러피언 게임에 종목 채택",태국,0,기타
3931,"태국, 현재까지 16명의 도쿄올림픽 출전 선수 확정",태국,0,기타
3932,2032 올림픽 개최 위해 제안된 브리즈번 라이브 스타디움,호주,0,기타
3933,존 코츠에게 30년간의 고통이 2032 브리즈번 유치 노력에 미친 영향,호주,0,기타
3934,‘2022 베이징 동계올림픽 문화 한국행’ 행사 시작,중국,0,기타
3935,"스포티파이, K-팝 음악 스트리밍 서비스 중단",인도,200,KPOP
3936,"중화요리 가정간편식, 韓 식탁에 올라",중국,0,기타
3937,'야구소녀'의 분투… 전국 개봉,일본,0,기타
3938,아시아 감독의 밤,싱가포르,0,기타
3939,"올림픽에 관심 70%, 개최 ‘바라지 않아’ 58%, 관객 ‘최소한으로’ 47%",일본,0,기타
3940,"올림픽 개최 반대, 일본이 최다…독일·영국도 과반수, 6개국 조사",일본,0,기타
3941,떠나고자 했던 고향으로 돌아온 감독,미국,0,기타
3942,잊지 못할 휴가를 보낼 수 있는 해외 여행지 4곳 추천,아르헨티나,0,기타
3943,"골든글로브, 의미도 없고 기억에도 남지 않을 시상식",아르헨티나,0,기타
3944,골든글러브: 수상자 리스트,스페인,0,기타
3945,"영화 ‘미나리’, 2021년 골든글로브 외국어영화상 수상",인도네시아,20,영화/드라마
3946,이어지고 넓어지는 요미카루 온라인 문화강좌,일본,0,기타
3947,[분석] 韓 ‘혼족’의 일상 속으로 걸어 들어온 ‘펫팸’,중국,0,기타
3948,"한국 영화, 여성의 시각에 공감 - 삶의 자세를 정성스럽게 묘사 (석간문화)",일본,10,영화/드라마
3949,"노매드랜드, 골든글로브 화상 시상식에서 역사를 만들다",태국,0,기타
3950,"싱가포르 크루즈 여행사, 나라별 테마 여행 상품 선보여",싱가포르,0,기타
3951,올림픽조직위원회 이사회 여성 이사의 비율을 40%로,일본,0,기타
3952,"미나리, 골든글로브 외국어영화상 수상",필리핀,10,영화/드라마
3953,"韓 문화 ‘바로알림단’, 中 네티즌들 사이에서 논란",중국,0,기타
3954,"해외, 국내관객은 따로 판단, 올림픽담당상, “나눠서 생각”",일본,0,기타
3955,금주의 책장 「이웃나라 말이잖아요. 이바라기 노리코와 한국」,일본,0,기타
3956,한국의 BTS는 바이러스 독일라디오 사회자 차별발언,일본,100,KPOP
3957,"‘미나리’, 일부 논란 속 골든글로브 최우수외국어영화상 수상",미국,10,영화/드라마
3958,정성스러운 소녀의 일상과 성장…'남매의 여름밤' 윤단비 감독,일본,0,기타
3959,"내가 그리는 맘에 와 닿는 영화 나오씨 추천작 「님아, 그 강을 건너지 마오」",일본,10,영화/드라마
3960,"올림픽 ‘부흥 기여하지 않아’ 61%, 긍정을 상회",일본,0,기타
3961,"올림픽조직위 신임회장, 하시모토 씨 ‘적절하다’64%",일본,0,기타
3962,"넷플릭스, 한국에서 투자 확대하며 작품 제작 강화",미국,10,영화/드라마
3963,"‘미나리’, ‘The Father’ : 드디어 시청할 수 있는 2020 최고의 영화",미국,20,영화/드라마
3964,"넷플릭스, 한국 콘텐츠에 5억 달러 투자할 것",스페인,10,영화/드라마
3965,‘미나리’ 평론: 아메리칸 드림에 대한 믿음의 회복,영국,10,영화/드라마
3966,한국 대보름,베트남,0,기타
3967,"주인도한국문화원과 삼성, 잠무 카슈미르 태권도 협회 태권도 대회 후원",인도,0,기타
3968,"한국문화원, 설날 기념",카자흐스탄,0,기타
3969,"2020년 영화계에 어려운 한 해였으나, 한국 영화의 해외 매출은 43% 증가",미국,0,기타
3970,"넷플릭스, 올해 새로운 컨텐츠 개발 위해 한국에 5억 달러 투자",미국,10,영화/드라마
3971,GLOBAL VIEWS 대한럭비협회 신임회장 최윤씨 경기인구↑↑로 도전 나고야에서 자라 '일본과 절차탁마를',일본,0,기타
3972,2032 올림픽 개최 위한 어려운 논의에 착수할 단계,호주,0,기타
3973,궤도에 오른 꿈... 퀸즐랜드 올림픽 개최위해 준비,호주,0,기타
3974,"추신수, 한국 야구 리그, 240만 달러 계약 체결",인도,0,기타
3975,큰 실내경기장에서의 훈련이 도움이 될거 같다: 신두,인도,0,기타
3976,"아라시야마 상점가, 츠키하시 와타루가 BTS 곡으로 댄스 추는 동영상 공개",일본,200,KPOP
3977,[K컬쳐!] 인기 요괴가 무당이나 남자로도 변신 사카이 미에코 (기고),일본,0,기타
3978,심장 뛰는 디지털 버전의 ‘쾌락의 정원’서울에 도착,스페인,0,기타
3979,［라운지］구로다 후쿠미상(배우),일본,10,영화/드라마
3980,"성화 봉송, 감염대책 철저하게, 올림픽조직위, 거리의 응원은 박수",일본,0,기타
3981,"코로나 대책강화 요청, 시마네현 지사, 현 상태라면 올림픽  “찬성하기 어렵다”",일본,0,기타
3982,IOC ‘관객 판단은 4-5월에’,일본,0,기타
3983,"성화 봉송 박수로 관람, 코로나 대책 가이드라인 공표",일본,0,기타
3984,IOC 바흐 위원장 '해외 관객 4월-5월초에는 판단',일본,0,기타
3985,"IOC, 2032 올림픽 우선순위 협상주체로 브리즈번 공식 선정",호주,0,기타
3986,"브리즈번, 2032 올림픽 유치 경쟁의 선두주자로 확정",호주,0,기타
3987,"브리즈번, 2032 올림픽 ‘우선순위 협상주체’로 선정 돼",호주,0,기타
3988,"주중한국문화원, 한국 관련 오류 시정하는 ‘바로알림단’ 모집 공고 게재",중국,0,기타
3989,도쿄올림픽 해외 관객 “4월말에 판단”,일본,0,기타
3990,‘장수잉’은 한국 이름 같다? 한중 네티즌 갈등 또 시작돼,중국,0,기타
3991,"패럴림픽까지 반년, 대회 개최는 사회의 희망이다",일본,0,기타
3992,"브라질 듀오, K-리그 역사에서 최고를 꿈꾸다",브라질,0,기타
3993,"마술사 -독일 앙상블 ‘모데른’의 해피 뉴 이어스 공연, 작곡가 진은숙에 헌정",독일,0,기타
3994,"태국, 아랍에미리트와 월드컵예선전 유치경쟁",태국,0,기타
3995,"주터키한국문화원장, 한식 하면 빼놓을 수 없는 김치에 대해 설명했다",터키,-1,음식/뷰티
3996,"[분석] ‘강건한 기질’ 육성, 다른 나라는 어떻게 바라보나",중국,0,기타
3997,"브리즈번, 이르면 2.24밤 ‘우선순위 협상주체’로 선정될 수도",호주,0,기타
3998,"(취재考기) 영화가 된 한국의 정보기관 KCIA 독재정권하의 '남산', 지금도 아물지 않는 상처",일본,0,기타
3999,"인니 영화산업, 더 이상 영화관에 안주하지 말아야",인도네시아,0,기타
4000,"영화 '미나리', 아메리칸 드림을 수확하다",아르헨티나,20,영화/드라마
4001,스포츠 문화의 폐단에 대한 국가적 심판을 촉발한 한국 배구선수들의 학대 사건,미국,0,기타
4002,새로운 문화를 접하러 한국으로,스페인,0,기타
4003,'부산행' 할리우드 리메이크,베트남,10,영화/드라마
4004,"최영석 감독, 반드시 태국국적 취득할 것",태국,0,기타
4005,100만 조회수로 뜨거운 김치열기,인도,0,기타
4006,"국립극단, '스카팽' 배리어프리·신작 '햄릿' 온라인 공개",베트남,0,기타
4007,"올림픽 개최 지지 70세 이상 37%, 하시모토 씨 적임’ 여성 78%",일본,0,기타
4008,"마음이 따뜻해지는 훌륭한 한국-미국 영화 ‘미나리’, 그 어떤 관객에게도 통할 것",캐나다,20,영화/드라마
4009,독립성이 강한 것으로 알려진 25마리의 개 품종,미국,0,기타
4010,한강. 소설은 살아있으며 한국에 거주한다.,이탈리아,0,기타
4011,노화 방지에 탁월하다고 알려진 기적의 음식!,터키,-1,음식/뷰티
4012,"인니, 창위경제 통해 한국과의 협업 증진한다",인도네시아,0,기타
4013,한국 요리를 좋아하세요? 서울 음식을 제공하는 뭄바이의 정통 레스토랑을 맛보세요,인도,0,기타
4014,한식 하면 빼놓을 수 없는 김치,터키,-2,음식/뷰티
4015,All That Cinema 지푸라기라도 잡고 싶은 짐승들,일본,0,기타
4016,한국인인가 중국인인가? 윤동주 시인의 정체성을 둘러싼 논쟁으로 한중 간 ‘김치 전쟁’ 재점화,홍콩,-1,음식/뷰티
4017,"""눈치를 보는 문화"" 한국과 공통",일본,0,기타
4018,속말을 뱉어내다,오스트리아,0,기타
4019,[분석] 오디션 프로그램은 이제 “뽑을 인재가 없다”?,중국,0,기타
4020,트라우마를 담은 타임 캡슐,호주,0,기타
4021,현실감 있는 이민자 이야기 ‘미나리’,호주,10,영화/드라마
4022,이민자 가족의 이야기를 희망과 리스크에 대한 원대한 이야기로 풀어나가는 영화 ‘미나리’,호주,20,영화/드라마
4023,"현실로 되살아난 듯 한 어린시절의 이야기, 미나리",호주,10,영화/드라마
4024,한국인 이민자의 어메리칸 드림,호주,0,기타
4025,화제의 책,일본,0,기타
4026,김치전쟁을 또 다른 단계로 진입시킨 한국,미국,0,기타
4027,"UFC 최승우, 비무장지대에서 시작된 페더급 파이터의 동화같은 이야기",홍콩,0,기타
4028,봉준호 감독이 기생충에 이어 새로운 영화를 제작하고 있다.,멕시코,10,영화/드라마
4029,"봉준호 감독 ""'기생충' 속편 시나리오 이미 완성""",아르헨티나,20,영화/드라마
4030,아메리칸 드림의 이중적 의미,미국,0,기타
4031,"한국연극협회, 고려극장과의 교류작품 '안녕, 굴사르' 공연",카자흐스탄,0,기타
4032,온라인 콘테스트 'Know your Kimchi' 10일 만에 조회수 100만 돌파,인도,0,기타
4033,한국문화원 설날 기념 행사 온라인으로 개최,인도네시아,0,기타
4034,"정체불명! 韓 콘크리트 땅굴 발견…전문가, 문화유산 등록 건의",중국,0,기타
4035,다가오는 올림픽 관중은? 성화 봉송은? 과제 산적,일본,0,기타
4036,"IOC 바흐 회장""직책에 적임"" 오오사카 나오미 여성회장 환영",일본,0,기타
4037,생명보다 조국을 더 사랑하다 ? 상트페테르부르크 이범진 공사 순국 110주년 기념식,러시아,0,기타
4038,"중국 매체, 김치 분쟁 가운데 한국의 활동가들 지목",미국,-1,음식/뷰티
4039,"하시모토 신임 회장, 과제 산적, 엄격한 선출",일본,0,기타
4040,"올림픽 조직위 회장에 하시모토 씨, 국민이 납득할 수 있는 운영을",일본,0,기타
4041,"올림픽 조직위의 하시모토 신임 회장, 한중도 관심 “물의 계속돼”, “성공 바란다”",일본,0,기타
4042,넷플릭스로 볼 수 있는 최고 영화 톱 25,아르헨티나,10,영화/드라마
4043,"방탄소년단 소속사, 유니버설과 손잡고 미국 현지에서 새 보이그룹 만든다",아르헨티나,200,KPOP
4044,'기생충' 오스카 정복 1년 후…할리우드를 사로잡은 영화 '미나리',아르헨티나,40,영화/드라마
4045,또 누군가를 잃고 싶지 않았다,독일,0,기타
4046,"필모테카, 한국영화 회고전 개최",스페인,10,영화/드라마
4047,"‘다시, 시작의 선에서’",스페인,0,기타
4048,"영화 <기생충> 1년 후, 한국어 영화 <미나리>가 할리우드에서 화제",영국,40,영화/드라마
4049,"나쁜 인성, 운동하지 마라?",태국,0,기타
4050,일요일 해외 관광객 70명 도착,태국,0,기타
4051,"하시모토 올림픽상이 사표 제출, 조직위 회장, 후임 마루카와 씨, 총리 “전력으로 서포트”",일본,0,기타
4052,호러와 액션: 봉준호 감독의 다음 프로젝트,호주,20,영화/드라마
4053,"하시모토 올림픽상, 신임 회장 수락으로, 조직위가 이사회 개최",일본,0,기타
4054,[심층보도] 中 ‘공격’을 청원한 韓 반크는 도대체 무엇인가,중국,0,기타
4055,영상물이 제작되는 과정을 재미있게 보여주는 에비스 영상제,일본,0,기타
4056,"올림픽에 찬물, 일정부 불쾌감, 성화 봉송 중지 검토",일본,0,기타
4057,"“아이돌”, K-pop의 냉혹한 세계 속으로의 몰입",프랑스,200,KPOP
4058,아미가 이루어낸 BBVA(CDMX) 의 제이홉 생일 축하,멕시코,100,KPOP
4059,기억의 밤 한국 영화 팬들 사이에서 컬트 레이블로 선정,멕시코,10,영화/드라마
4060,한국에서 태어나 아르헨티나에서 자란 한인 1.5세 “아르헨티나의 한류 열풍은 상상도 못 했던 일”,아르헨티나,0,기타
4061,한국의 새해 첫날인 설날에 대해 알아야 할 모든 것,이탈리아,0,기타
4062,"주스페인한국문화원, 2.17일부터 3.31일까지 공예전 개최",스페인,0,기타
4063,"나이지리아 태권도 연맹, 전국체전 연기 선언",나이지리아,0,기타
4064,3개의 국제장애인대회 개최,태국,0,기타
4065,"태국, AFC챔피언스리그 조별리그 유치 희망",태국,0,기타
4066,"주인도네시아 한국문화원, 설날 기념행사 진행",인도네시아,0,기타
4067,완벽한 범죄? 퍼스 페스티벌 김정남 사건 다룬 ‘암살자들’ 상영,호주,0,기타
4068,"사랑의 불시착, 이태원 클라쓰…한국드라마에 나오는 그것이 먹고 싶다",일본,30,영화/드라마
4069,"한국 배구팀의 쌍둥이 스타, 학폭 과거 드러난 이후 자격 박탈",홍콩,0,기타
4070,"24세의 쌍둥이 자매 배구선수, 학폭 밝혀진 이후 출전정지",영국,0,기타
4071,미나리와 100년 이상 미국 땅을 경작해 온 한국계 미국인 이민자들,미국,0,기타
4072,"‘다시, 시작의 선에서’. 한국 공예 온라인 전시",스페인,0,기타
4073,한국 학폭: 쌍둥이 배구스타 국가대표 퇴출,이탈리아,0,기타
4074,"JNU 교수, 한국학 진흥 공로상 수상",인도,0,기타
4075,"한국의 쌍둥이 배구선수, 국가대표직 무기한 박탈당해",인도네시아,0,기타
4076,괴롭힘 스캔들,태국,0,기타
4077,국가대표선수 백신 선접종 승인,태국,0,기타
4078,"관광지화 진전되는 '음식의 도시', 전주",일본,0,기타
4079,"관광부, 영화 제작 종사자들 대상 추가 혜택 준비",태국,10,영화/드라마
4080,"외교는 최악, 문화는 인기. 한국과 어떻게 마주 대할 것인지?",일본,0,기타
4081,"패션이 한국 음식을 만나는 곳, ‘소울 델리’",호주,0,기타
4082,"스크린 쇼, 미나리 정이삭 감독",호주,10,영화/드라마
4083,‘김치 본가를 둘러싼 중국과 한국의 논쟁’,일본,-1,음식/뷰티
4084,"도쿄올림픽?패럴림픽 조직위 후임 회장, '후보자 검토위원회' 첫 회동",일본,0,기타
4085,새로운 유행! 韓 설날에 모일 수 없자 ‘온라인 세배’ 열풍,중국,0,기타
4086,"한국 배구 대표 자격 박탈, 쌍둥이 자매가 왕따 시켜",일본,0,기타
4087,모리 회장의 사임 ‘당연하다’ 72%,일본,0,기타
4088,넷플릭스: 좋아하면 울리는 시즌2 방영,멕시코,10,영화/드라마
4089,멕시코에서 한국까지 여행을 하는데 필요한 비용,멕시코,0,기타
4090,"‘다시, 시작의 선에서’",스페인,0,기타
4091,"무에타이, 무관중 경기로 시작",태국,0,기타
4092,뉴노멀 사이클대회 성공,태국,0,기타
4093,한국 현대희곡을 소개하는 리딩기획이 완결,일본,0,기타
4094,간행 : 한국문학의 중진 황석영씨 자전간행,일본,0,기타
4095,피몬의 훈장수령을 축하함,태국,0,기타
4096,"주인도네시아 한국문화원, 2020년도 최우수 문화원으로 선정",인도네시아,0,기타
4097,"한국문화원, 인도네시아 내 한류커뮤니티 다양한 방식으로 지원한다",인도네시아,0,기타
4098,BTS 그들만의 unplugged MTV,멕시코,100,KPOP
4099,"한국판 스타워즈, '승리호'",아르헨티나,0,기타
4100,아메리칸드림을 복잡하게 하는 미나리,미국,10,영화/드라마
4101,"한국 전통공예전, ‘다시, 시작의 선에서’",스페인,0,기타
4102,"카자흐 연극 '굴사르 안녕', 서울에서 개막",카자흐스탄,0,기타
4103,모리 회장의 ‘밀실’ 후계 지명에 의문의 목소리,일본,0,기타
4104,사람 : 전미 도서상(번역문학부문)을 수상한 유미리씨,일본,0,기타
4105,전인도 학교 학생들을 위한 쓰기 대회,인도,0,기타
4106,"도쿄올림픽 모리 회장 사의, 오늘 표명, 개막하기까지 반년, 혼란 깊어져",일본,0,기타
4107,"모리 회장의 사임의사, 심기일전의 기회로 삼고싶다",일본,0,기타
4108,"비대면, 레드카펫 없이 진행되는 베를린 국제영화제에 ‘Ruizpalacios, Br?hl, Sang-soo’초청돼",스페인,0,기타
4109,"카자흐인, 한국에서 개최되는 노래·사진 콘테스트 참가 가능",카자흐스탄,0,기타
4110,최영석 감독의 미래,태국,0,기타
4111,"문화원장, 한국 설날에 대해 인터뷰",인도네시아,0,기타
4112,"신태용 감독: 2021년 리그1, K-리그 모범으로 삼길 바래",인도네시아,0,기타
4113,"모리 회장, 사임을 조정, 조직위 간부와 협의, 여성 멸시 발언으로 인책",일본,0,기타
4114,"미 국무부, 도쿄 올림픽 “선수의 건강과 안전이 최우선”",일본,0,기타
4115,"미 NBC, 도쿄올림픽 개막식 생중계로",일본,0,기타
4116,초보자의 음력설 가이드,호주,0,기타
4117,"올림픽 조직위, 혼미 타개 위해 쇄신을 서둘러라",일본,0,기타
4118,"IOC 트위터 탑 동영상, 도쿄올림픽에서 베이징올림픽으로 기간한정 PR",일본,0,기타
4119,플러그를 뽑다,멕시코,0,기타
4120,한국어로 부른 멕시코노래,멕시코,0,기타
4121,"K-pop 스타들, '정신 건강 스스로 지키자'",아르헨티나,100,KPOP
4122,"방탄소년단, MTV 언플러그드 출연",아르헨티나,100,KPOP
4123,태국 태권도 발전에 기여,태국,0,기타
4124,태국 태권도품새국가대표팀 선전,태국,0,기타
4125,[논평] 오스카 시상식 시즌 ‘하프타임’에 접어들어…선두를 달리고 있는 영화 10편,중국,20,영화/드라마
4126,2021년 인도에서 한국어 입문 수업 정원 300명에서 4200명으로 증가,인도,0,기타
4127,해외는 ‘춘절 특집’으로 무엇을 방영하나,중국,0,기타
4128,"카토 장관, IOC 성명 ""조직위가 대응"" 여성멸시 발언과 관련",일본,0,기타
4129,"올림픽 ‘안전 최우선으로’관방장관, 미대통령 발언과 관련",일본,0,기타
4130,"손흥민 재계약 협상, 지금은 아니다",태국,0,기타
4131,"피몬 태국태권도협회장, 대한민국 체육훈장 받다",태국,0,기타
4132,"필리핀영화진흥위원회, 영화 22편에 대한 보조금 지급",필리핀,10,영화/드라마
4133,"윤여정, 미배우조합상 후보에 올라",미국,10,영화/드라마
4134,"파워하우스뮤지엄, 코로나로 인한 휴관 이후 나한상 전시로 돌아와",호주,0,기타
4135,"조직위 임시회의 개최로,  모리 씨 발언으로 대응 협의",일본,0,기타
4136,"도쿄올림픽 개최  ""과학으로 판단을""　스가 총리와도 협의, 미 대통령",일본,0,기타
4137,Al Duhail 팀은 MDC에서 울산현대 팀을 제치고5위 : 울산현대 6위,멕시코,0,기타
4138,멕시코의 여배우 한국에서 자신의 능력을 보여주다.,멕시코,10,영화/드라마
4139,추천 할 만한 아시아 요리,아르헨티나,-1,음식/뷰티
4140,무척이나 귀여운 판다의 포옹,멕시코,0,기타
4141,어려운 상대였던 울산현대 축구팀: 다음상대는 파우메이라스,멕시코,0,기타
4142,패배에 대한 울산현대 사과,멕시코,0,기타
4143,LCK 리그오브 레전드 한국리그 3주차 결과,멕시코,0,기타
4144,걸그룹 “여자 친구” 멤버중 한명이 나치 유니폼 옆에 사진을 찍어 논란이 일고 있다.,멕시코,100,KPOP
4145,?김치? 전쟁,스페인,-1,음식/뷰티
4146,"주인도한국문화원, 한국어 강좌 4,200석으로 14배 증가",인도,0,기타
4147,수도권에서 한국어 학습자 증가,인도,0,기타
4148,손흥민-케인 콤비 3연패 탈출,태국,0,기타
4149,무에타이 고사직전,태국,0,기타
4150,최영석 감독 태국귀화 신청,태국,0,기타
4151,바이러스에 시큼한 음식을 - 절임채소 테이크 아웃,오스트리아,0,기타
4152,"올림픽 성화, 다가오는 스타트, 초조해 하는 자치체",일본,0,기타
4153,"韓 전통시장, 설맞이 상품들 열풍",중국,0,기타
